3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
64.9732 	EXP 	question_text: autoDraw = True
64.9732 	EXP 	level_text: autoDraw = True
65.1176 	DATA 	Keypress: up
65.1241 	EXP 	question_text: autoDraw = False
65.1241 	EXP 	level_text: autoDraw = False
65.1241 	EXP 	level_text: text = 0.05623413251903478
65.1241 	EXP 	question_text: autoDraw = True
65.1241 	EXP 	level_text: autoDraw = True
65.2614 	DATA 	Keypress: up
65.2902 	EXP 	question_text: autoDraw = False
65.2902 	EXP 	level_text: autoDraw = False
65.2902 	EXP 	level_text: text = 0.06309573444801918
65.2902 	EXP 	question_text: autoDraw = True
65.2902 	EXP 	level_text: autoDraw = True
65.4349 	DATA 	Keypress: up
65.4401 	EXP 	question_text: autoDraw = False
65.4401 	EXP 	level_text: autoDraw = False
65.4401 	EXP 	level_text: text = 0.07079457843841362
65.4401 	EXP 	question_text: autoDraw = True
65.4401 	EXP 	level_text: autoDraw = True
65.5858 	DATA 	Keypress: up
65.5906 	EXP 	question_text: autoDraw = False
65.5906 	EXP 	level_text: autoDraw = False
65.5906 	EXP 	level_text: text = 0.07943282347242796
65.5906 	EXP 	question_text: autoDraw = True
65.5906 	EXP 	level_text: autoDraw = True
65.7300 	DATA 	Keypress: up
65.7575 	EXP 	question_text: autoDraw = False
65.7575 	EXP 	level_text: autoDraw = False
65.7575 	EXP 	level_text: text = 0.08912509381337433
65.7575 	EXP 	question_text: autoDraw = True
65.7575 	EXP 	level_text: autoDraw = True
65.9005 	DATA 	Keypress: up
65.9075 	EXP 	question_text: autoDraw = False
65.9075 	EXP 	level_text: autoDraw = False
65.9075 	EXP 	level_text: text = 0.09999999999999974
65.9075 	EXP 	question_text: autoDraw = True
65.9075 	EXP 	level_text: autoDraw = True
66.0508 	DATA 	Keypress: up
66.0576 	EXP 	question_text: autoDraw = False
66.0576 	EXP 	level_text: autoDraw = False
66.0576 	EXP 	level_text: text = 0.11220184543019604
66.0576 	EXP 	question_text: autoDraw = True
66.0576 	EXP 	level_text: autoDraw = True
66.2185 	DATA 	Keypress: up
66.2254 	EXP 	question_text: autoDraw = False
66.2254 	EXP 	level_text: autoDraw = False
66.2254 	EXP 	level_text: text = 0.12589254117941637
66.2254 	EXP 	question_text: autoDraw = True
66.2254 	EXP 	level_text: autoDraw = True
66.3690 	DATA 	Keypress: up
66.3748 	EXP 	question_text: autoDraw = False
66.3748 	EXP 	level_text: autoDraw = False
66.3748 	EXP 	level_text: text = 0.14125375446227503
66.3748 	EXP 	question_text: autoDraw = True
66.3748 	EXP 	level_text: autoDraw = True
66.5366 	DATA 	Keypress: up
66.5414 	EXP 	question_text: autoDraw = False
66.5414 	EXP 	level_text: autoDraw = False
66.5414 	EXP 	level_text: text = 0.1584893192461109
66.5414 	EXP 	question_text: autoDraw = True
66.5414 	EXP 	level_text: autoDraw = True
66.6801 	DATA 	Keypress: up
66.7082 	EXP 	question_text: autoDraw = False
66.7082 	EXP 	level_text: autoDraw = False
66.7082 	EXP 	level_text: text = 0.17782794100389177
66.7082 	EXP 	question_text: autoDraw = True
