trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,27.03837323329256,None,u,0.09868559997994453,27.038041199964937,None,27.038041199964937,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
13,0,13,0,,,,,,,27.170160433285247,None,u,0.10092230001464486,27.171508399944287,None,27.171508399944287,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
14,0,14,0,,,,,,,27.318447033300373,None,u,0.10489420004887506,27.318349799956195,None,27.318349799956195,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
15,0,15,0,,,,,,,27.465234733310837,None,u,0.09556829999201,27.46430979995057,None,27.46430979995057,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
16,0,16,0,,,,,,,27.598448433280765,None,u,0.09181650000391528,27.599288199970033,None,27.599288199970033,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
17,0,17,0,,,,,,,27.730421833294287,None,u,0.1027170000015758,27.73844749998534,None,27.73844749998534,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
18,0,18,0,,,,,,,27.878710533325403,None,u,0.11059900000691414,27.882043799967505,None,27.882043799967505,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
19,0,19,0,,,,,,,28.024536533288966,None,u,0.12916249997215346,28.025910699972883,None,28.025910699972883,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
20,0,20,0,,,,,,,28.19780383329683,None,u,0.11045340000418946,28.196532299974933,None,28.196532299974933,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
21,0,21,0,,,,,,,28.345562633309356,None,u,0.10134480003034696,28.344396899978165,None,28.344396899978165,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
22,0,22,0,,,,,,,28.478345833319082,None,u,0.11824470001738518,28.478349999990314,None,28.478349999990314,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
23,0,23,0,,,,,,,28.65088273329505,None,u,0.0970653000404127,28.649782499996945,None,28.649782499996945,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
24,0,24,0,,,,,,,28.78482433327784,None,u,0.10193860001163557,28.78421279997565,None,28.78421279997565,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
